 duration: 76.379s, episode steps: 760, episode reward: 125.000
 duration: 56.398s, episode steps: 562, episode reward: 120.000
 duration: 124.449s, episode steps: 1260, episode reward: 530.000
 duration: 58.080s, episode steps: 576, episode reward: 65.000
 duration: 62.435s, episode steps: 620, episode reward: 55.000
 duration: 47.753s, episode steps: 483, episode reward: 85.000
 duration: 34.830s, episode steps: 343, episode reward: 60.000
 duration: 66.376s, episode steps: 655, episode reward: 105.000
 duration: 136.091s, episode steps: 1389, episode reward: 360.000
 duration: 34.076s, episode steps: 342, episode reward: 10.000
 duration: 45.151s, episode steps: 448, episode reward: 20.000
 duration: 52.634s, episode steps: 512, episode reward: 45.000
 duration: 94.119s, episode steps: 944, episode reward: 240.000
 duration: 98.053s, episode steps: 988, episode reward: 225.000
 duration: 59.287s, episode steps: 600, episode reward: 45.000
 duration: 51.181s, episode steps: 508, episode reward: 155.000
 duration: 99.153s, episode steps: 986, episode reward: 270.000
 duration: 112.424s, episode steps: 1127, episode reward: 190.000
 duration: 76.279s, episode steps: 765, episode reward: 190.000
 duration: 62.338s, episode steps: 618, episode reward: 50.000
 duration: 2.189s, episode steps: 502, episode reward: 80.000
 duration: 1.955s, episode steps: 437, episode reward: 60.000
 duration: 64.512s, episode steps: 678, episode reward: 180.000
 duration: 75.080s, episode steps: 739, episode reward: 120.000
 duration: 74.887s, episode steps: 736, episode reward: 105.000
 duration: 91.740s, episode steps: 907, episode reward: 125.000
 duration: 69.240s, episode steps: 689, episode reward: 100.000
 duration: 52.882s, episode steps: 517, episode reward: 95.000
 duration: 45.889s, episode steps: 445, episode reward: 20.000
 duration: 90.682s, episode steps: 901, episode reward: 180.000
 duration: 95.649s, episode steps: 954, episode reward: 210.000
 duration: 63.859s, episode steps: 631, episode reward: 15.000
 duration: 65.997s, episode steps: 654, episode reward: 105.000
 duration: 38.784s, episode steps: 380, episode reward: 25.000
 duration: 76.138s, episode steps: 747, episode reward: 180.000
 duration: 56.338s, episode steps: 544, episode reward: 45.000
 duration: 66.491s, episode steps: 650, episode reward: 120.000
 duration: 114.253s, episode steps: 1144, episode reward: 320.000
 duration: 159.369s, episode steps: 1590, episode reward: 240.000
 duration: 63.741s, episode steps: 626, episode reward: 55.000
 duration: 65.441s, episode steps: 638, episode reward: 105.000
 duration: 98.688s, episode steps: 964, episode reward: 210.000
 duration: 74.290s, episode steps: 725, episode reward: 235.000
 duration: 70.100s, episode steps: 674, episode reward: 120.000
 duration: 54.717s, episode steps: 531, episode reward: 85.000
 duration: 76.927s, episode steps: 748, episode reward: 210.000
 duration: 123.079s, episode steps: 1216, episode reward: 225.000
 duration: 39.259s, episode steps: 389, episode reward: 80.000
 duration: 96.874s, episode steps: 953, episode reward: 215.000
 duration: 109.351s, episode steps: 1089, episode reward: 240.000
 duration: 65.811s, episode steps: 651, episode reward: 145.000
 duration: 43.212s, episode steps: 425, episode reward: 25.000
 duration: 65.431s, episode steps: 637, episode reward: 100.000
 duration: 50.872s, episode steps: 501, episode reward: 65.000
 duration: 39.156s, episode steps: 384, episode reward: 40.000
 duration: 74.398s, episode steps: 728, episode reward: 140.000
 duration: 113.337s, episode steps: 1114, episode reward: 325.000
 duration: 77.740s, episode steps: 775, episode reward: 120.000
 duration: 117.420s, episode steps: 1161, episode reward: 445.000
 duration: 75.317s, episode steps: 747, episode reward: 205.000
 duration: 95.438s, episode steps: 938, episode reward: 320.000
 duration: 96.687s, episode steps: 956, episode reward: 280.000
 duration: 39.016s, episode steps: 384, episode reward: 25.000
 duration: 34.425s, episode steps: 339, episode reward: 65.000
 duration: 100.191s, episode steps: 982, episode reward: 200.000
 duration: 40.976s, episode steps: 409, episode reward: 35.000
 duration: 51.072s, episode steps: 504, episode reward: 110.000
 duration: 46.570s, episode steps: 456, episode reward: 115.000
 duration: 45.112s, episode steps: 442, episode reward: 80.000
 duration: 53.246s, episode steps: 520, episode reward: 75.000
 duration: 93.101s, episode steps: 929, episode reward: 230.000
 duration: 48.159s, episode steps: 484, episode reward: 105.000
 duration: 39.539s, episode steps: 390, episode reward: 85.000
 duration: 32.908s, episode steps: 324, episode reward: 60.000
 duration: 40.197s, episode steps: 390, episode reward: 85.000
 duration: 71.242s, episode steps: 686, episode reward: 235.000
 duration: 40.105s, episode steps: 397, episode reward: 125.000
 duration: 85.237s, episode steps: 837, episode reward: 195.000
 duration: 51.418s, episode steps: 505, episode reward: 105.000
 duration: 49.572s, episode steps: 485, episode reward: 70.000
 duration: 95.872s, episode steps: 944, episode reward: 215.000
 duration: 84.445s, episode steps: 834, episode reward: 305.000
 duration: 100.766s, episode steps: 1000, episode reward: 260.000
 duration: 61.783s, episode steps: 617, episode reward: 120.000
 duration: 86.437s, episode steps: 863, episode reward: 210.000
 duration: 94.175s, episode steps: 936, episode reward: 210.000
 duration: 76.998s, episode steps: 774, episode reward: 120.000
 duration: 66.945s, episode steps: 665, episode reward: 120.000
 duration: 148.217s, episode steps: 1490, episode reward: 420.000
 duration: 69.629s, episode steps: 696, episode reward: 180.000
 duration: 131.705s, episode steps: 1318, episode reward: 285.000
 duration: 65.783s, episode steps: 656, episode reward: 135.000
 duration: 52.864s, episode steps: 524, episode reward: 50.000
 duration: 100.043s, episode steps: 986, episode reward: 260.000
 duration: 79.651s, episode steps: 793, episode reward: 210.000
 duration: 34.727s, episode steps: 341, episode reward: 55.000
 duration: 75.807s, episode steps: 744, episode reward: 260.000
 duration: 81.353s, episode steps: 811, episode reward: 185.000
 duration: 47.727s, episode steps: 473, episode reward: 75.000
 duration: 80.052s, episode steps: 794, episode reward: 145.000
 duration: 81.808s, episode steps: 819, episode reward: 155.000
 duration: 85.194s, episode steps: 852, episode reward: 210.000
 duration: 85.364s, episode steps: 852, episode reward: 180.000
 duration: 81.152s, episode steps: 811, episode reward: 155.000
 duration: 53.582s, episode steps: 531, episode reward: 105.000
 duration: 80.803s, episode steps: 798, episode reward: 110.000
 duration: 61.775s, episode steps: 614, episode reward: 55.000
 duration: 144.733s, episode steps: 1452, episode reward: 210.000
 duration: 67.179s, episode steps: 662, episode reward: 160.000
 duration: 43.067s, episode steps: 421, episode reward: 45.000
 duration: 69.415s, episode steps: 680, episode reward: 170.000
 duration: 76.564s, episode steps: 755, episode reward: 120.000
 duration: 56.475s, episode steps: 556, episode reward: 45.000
 duration: 88.026s, episode steps: 868, episode reward: 185.000
 duration: 82.111s, episode steps: 808, episode reward: 210.000
 duration: 37.412s, episode steps: 364, episode reward: 80.000
 duration: 84.129s, episode steps: 822, episode reward: 380.000
 duration: 39.005s, episode steps: 380, episode reward: 75.000
 duration: 79.793s, episode steps: 769, episode reward: 135.000
 duration: 70.873s, episode steps: 695, episode reward: 105.000
 duration: 54.803s, episode steps: 533, episode reward: 125.000
 duration: 73.517s, episode steps: 716, episode reward: 135.000
 duration: 119.833s, episode steps: 1179, episode reward: 440.000
 duration: 49.622s, episode steps: 490, episode reward: 80.000
 duration: 66.887s, episode steps: 655, episode reward: 160.000
 duration: 80.236s, episode steps: 791, episode reward: 360.000
 duration: 40.929s, episode steps: 404, episode reward: 60.000
 duration: 114.092s, episode steps: 1122, episode reward: 165.000
 duration: 39.433s, episode steps: 391, episode reward: 65.000
 duration: 71.366s, episode steps: 693, episode reward: 110.000
 duration: 53.057s, episode steps: 523, episode reward: 90.000
 duration: 79.955s, episode steps: 782, episode reward: 240.000
 duration: 82.028s, episode steps: 813, episode reward: 155.000
 duration: 113.085s, episode steps: 1123, episode reward: 480.000
 duration: 65.399s, episode steps: 655, episode reward: 155.000
 duration: 82.668s, episode steps: 824, episode reward: 120.000
 duration: 86.131s, episode steps: 850, episode reward: 210.000
 duration: 84.624s, episode steps: 845, episode reward: 120.000
 duration: 151.005s, episode steps: 1532, episode reward: 555.000
 duration: 61.246s, episode steps: 616, episode reward: 135.000
 duration: 43.219s, episode steps: 427, episode reward: 20.000
 duration: 104.139s, episode steps: 1035, episode reward: 260.000
 duration: 148.658s, episode steps: 1491, episode reward: 380.000
 duration: 76.514s, episode steps: 763, episode reward: 100.000
 duration: 53.734s, episode steps: 531, episode reward: 75.000
 duration: 32.750s, episode steps: 319, episode reward: 40.000
 duration: 44.741s, episode steps: 436, episode reward: 35.000
 duration: 70.230s, episode steps: 688, episode reward: 60.000
 duration: 63.934s, episode steps: 633, episode reward: 90.000
 duration: 100.579s, episode steps: 991, episode reward: 530.000
 duration: 81.876s, episode steps: 813, episode reward: 240.000
 duration: 93.772s, episode steps: 927, episode reward: 420.000
 duration: 65.681s, episode steps: 650, episode reward: 155.000
 duration: 100.462s, episode steps: 992, episode reward: 430.000
 duration: 72.693s, episode steps: 724, episode reward: 170.000
 duration: 76.870s, episode steps: 758, episode reward: 235.000
 duration: 3.931s, episode steps: 740, episode reward: 110.000
 duration: 23.892s, episode steps: 470, episode reward: 135.000
 duration: 68.974s, episode steps: 681, episode reward: 105.000
 duration: 47.488s, episode steps: 469, episode reward: 180.000
 duration: 54.336s, episode steps: 528, episode reward: 125.000
 duration: 39.498s, episode steps: 389, episode reward: 65.000
 duration: 51.246s, episode steps: 500, episode reward: 105.000
 duration: 69.975s, episode steps: 689, episode reward: 135.000
 duration: 63.488s, episode steps: 625, episode reward: 115.000
 duration: 52.717s, episode steps: 518, episode reward: 120.000
 duration: 74.810s, episode steps: 739, episode reward: 115.000
 duration: 68.472s, episode steps: 672, episode reward: 100.000
 duration: 63.966s, episode steps: 631, episode reward: 185.000
 duration: 89.121s, episode steps: 885, episode reward: 225.000
 duration: 67.540s, episode steps: 668, episode reward: 140.000
 duration: 103.321s, episode steps: 1022, episode reward: 395.000
 duration: 62.601s, episode steps: 622, episode reward: 50.000
 duration: 141.518s, episode steps: 1419, episode reward: 485.000
 duration: 62.392s, episode steps: 626, episode reward: 80.000
 duration: 43.659s, episode steps: 423, episode reward: 35.000
 duration: 86.755s, episode steps: 836, episode reward: 210.000
 duration: 78.537s, episode steps: 786, episode reward: 210.000
 duration: 93.014s, episode steps: 926, episode reward: 510.000
 duration: 65.647s, episode steps: 652, episode reward: 105.000
 duration: 80.523s, episode steps: 807, episode reward: 210.000
 duration: 68.455s, episode steps: 686, episode reward: 140.000
 duration: 82.656s, episode steps: 828, episode reward: 165.000
 duration: 81.368s, episode steps: 816, episode reward: 135.000
 duration: 77.700s, episode steps: 781, episode reward: 245.000
 duration: 103.794s, episode steps: 1032, episode reward: 385.000
 duration: 37.804s, episode steps: 386, episode reward: 50.000
 duration: 83.783s, episode steps: 833, episode reward: 155.000
 duration: 83.216s, episode steps: 830, episode reward: 180.000
 duration: 86.858s, episode steps: 858, episode reward: 210.000
 duration: 97.711s, episode steps: 978, episode reward: 270.000
 duration: 64.526s, episode steps: 645, episode reward: 75.000
 duration: 61.164s, episode steps: 594, episode reward: 55.000
 duration: 51.019s, episode steps: 500, episode reward: 105.000
 duration: 68.783s, episode steps: 674, episode reward: 150.000
 duration: 81.720s, episode steps: 812, episode reward: 225.000
 duration: 93.274s, episode steps: 924, episode reward: 230.000
 duration: 76.223s, episode steps: 763, episode reward: 205.000
 duration: 74.864s, episode steps: 742, episode reward: 120.000
 duration: 62.401s, episode steps: 623, episode reward: 85.000
 duration: 60.186s, episode steps: 592, episode reward: 80.000
 duration: 70.582s, episode steps: 697, episode reward: 120.000
 duration: 70.128s, episode steps: 697, episode reward: 60.000
 duration: 81.737s, episode steps: 811, episode reward: 180.000
 duration: 146.036s, episode steps: 1466, episode reward: 570.000
 duration: 41.211s, episode steps: 411, episode reward: 120.000
 duration: 99.402s, episode steps: 976, episode reward: 240.000
 duration: 84.932s, episode steps: 850, episode reward: 250.000
 duration: 71.071s, episode steps: 702, episode reward: 185.000
 duration: 47.151s, episode steps: 468, episode reward: 60.000
 duration: 83.734s, episode steps: 820, episode reward: 180.000
 duration: 87.433s, episode steps: 871, episode reward: 210.000
 duration: 83.749s, episode steps: 843, episode reward: 210.000
 duration: 84.436s, episode steps: 847, episode reward: 210.000
 duration: 83.055s, episode steps: 827, episode reward: 185.000
 duration: 65.670s, episode steps: 660, episode reward: 105.000
 duration: 82.260s, episode steps: 829, episode reward: 155.000
 duration: 95.310s, episode steps: 980, episode reward: 240.000
 duration: 64.082s, episode steps: 659, episode reward: 110.000
 duration: 79.540s, episode steps: 806, episode reward: 155.000
 duration: 82.372s, episode steps: 847, episode reward: 425.000
 duration: 82.166s, episode steps: 850, episode reward: 210.000
 duration: 84.568s, episode steps: 881, episode reward: 180.000
 duration: 62.660s, episode steps: 645, episode reward: 110.000
 duration: 82.910s, episode steps: 854, episode reward: 410.000
 duration: 82.018s, episode steps: 861, episode reward: 210.000
 duration: 75.555s, episode steps: 792, episode reward: 355.000
 duration: 78.145s, episode steps: 817, episode reward: 210.000
 duration: 80.574s, episode steps: 846, episode reward: 210.000
 duration: 34.905s, episode steps: 363, episode reward: 75.000
 duration: 137.512s, episode steps: 1440, episode reward: 755.000
 duration: 37.051s, episode steps: 389, episode reward: 110.000
 duration: 109.202s, episode steps: 1141, episode reward: 500.000
 duration: 91.008s, episode steps: 960, episode reward: 260.000
 duration: 37.850s, episode steps: 398, episode reward: 50.000
 duration: 78.430s, episode steps: 806, episode reward: 210.000
 duration: 59.703s, episode steps: 625, episode reward: 120.000
 duration: 90.074s, episode steps: 946, episode reward: 265.000
 duration: 38.789s, episode steps: 408, episode reward: 20.000
 duration: 76.492s, episode steps: 790, episode reward: 195.000
 duration: 63.454s, episode steps: 666, episode reward: 80.000
 duration: 41.433s, episode steps: 421, episode reward: 105.000
 duration: 30.324s, episode steps: 312, episode reward: 50.000
 duration: 68.678s, episode steps: 695, episode reward: 155.000
 duration: 114.971s, episode steps: 1208, episode reward: 340.000
 duration: 58.308s, episode steps: 614, episode reward: 80.000
 duration: 63.645s, episode steps: 660, episode reward: 390.000
 duration: 36.116s, episode steps: 369, episode reward: 35.000
 duration: 72.032s, episode steps: 735, episode reward: 235.000
 duration: 138.699s, episode steps: 1476, episode reward: 685.000
 duration: 93.812s, episode steps: 997, episode reward: 190.000
 duration: 57.814s, episode steps: 612, episode reward: 70.000
 duration: 77.332s, episode steps: 808, episode reward: 180.000
 duration: 80.457s, episode steps: 850, episode reward: 210.000
 duration: 57.179s, episode steps: 608, episode reward: 140.000
 duration: 70.438s, episode steps: 719, episode reward: 145.000
 duration: 107.682s, episode steps: 1105, episode reward: 320.000
 duration: 83.769s, episode steps: 872, episode reward: 265.000
 duration: 62.246s, episode steps: 648, episode reward: 55.000
 duration: 38.825s, episode steps: 398, episode reward: 40.000
 duration: 38.933s, episode steps: 398, episode reward: 95.000
 duration: 65.502s, episode steps: 666, episode reward: 160.000
 duration: 97.051s, episode steps: 999, episode reward: 270.000
 duration: 99.260s, episode steps: 1010, episode reward: 240.000
 duration: 83.554s, episode steps: 857, episode reward: 180.000
 duration: 63.853s, episode steps: 657, episode reward: 155.000
 duration: 91.657s, episode steps: 926, episode reward: 235.000
 duration: 62.032s, episode steps: 635, episode reward: 105.000
 duration: 81.448s, episode steps: 823, episode reward: 120.000
 duration: 62.449s, episode steps: 636, episode reward: 30.000
 duration: 62.240s, episode steps: 623, episode reward:  5.000
 duration: 34.607s, episode steps: 342, episode reward: 85.000
 duration: 94.148s, episode steps: 939, episode reward: 260.000
 duration: 65.271s, episode steps: 656, episode reward: 190.000
 duration: 84.522s, episode steps: 847, episode reward: 220.000
 duration: 113.083s, episode steps: 1152, episode reward: 145.000
 duration: 61.562s, episode steps: 630, episode reward: 135.000
 duration: 84.816s, episode steps: 863, episode reward: 205.000
 duration: 64.383s, episode steps: 662, episode reward: 90.000
 duration: 64.779s, episode steps: 658, episode reward: 170.000
 duration: 93.663s, episode steps: 939, episode reward: 150.000
 duration: 81.113s, episode steps: 819, episode reward: 180.000
 duration: 170.304s, episode steps: 1742, episode reward: 140.000
 duration: 64.564s, episode steps: 652, episode reward: 80.000
 duration: 81.578s, episode steps: 815, episode reward: 135.000
 duration: 67.473s, episode steps: 668, episode reward: 80.000
 duration: 41.537s, episode steps: 407, episode reward: 105.000
 duration: 83.136s, episode steps: 822, episode reward: 155.000
 duration: 8.495s, episode steps: 628, episode reward: 110.000
 duration: 89.087s, episode steps: 1525, episode reward: 260.000
 duration: 64.384s, episode steps: 864, episode reward: 210.000
 duration: 33.775s, episode steps: 444, episode reward: 60.000
 duration: 51.476s, episode steps: 686, episode reward: 75.000
 duration: 70.238s, episode steps: 967, episode reward: 265.000
 duration: 26.826s, episode steps: 377, episode reward: 50.000
 duration: 60.475s, episode steps: 834, episode reward: 355.000
 duration: 79.138s, episode steps: 1103, episode reward: 160.000
 duration: 36.724s, episode steps: 521, episode reward: 50.000
 duration: 57.400s, episode steps: 796, episode reward: 425.000
 duration: 44.392s, episode steps: 627, episode reward: 30.000
